date,stock_ticker,predicted_return_ols,predicted_return_lasso,predicted_return_ridge,predicted_return_elastic_net,actual_return,rank_ols,decile_ols,rank_lasso,decile_lasso,rank_ridge,decile_ridge,rank_elastic_net,decile_elastic_net
2011-11-30,HSY,0.00796696408595633,0.0,0.007953481900850098,0.0,0.0710818022,2233.0,8,1.0,0,2233.0,8,1.0,0
2011-11-30,CRS,-0.0015343773859313216,0.0,-0.0015367693915197198,0.0,-0.049131878,807.0,3,2.0,0,807.0,3,2.0,0
2011-11-30,DOW,0.0067806102752889594,0.0,0.006781653175470948,0.0,0.0469145142,2104.0,7,3.0,0,2104.0,7,3.0,0
2011-11-30,MWV,0.010466726338354992,0.0,0.010461790958107156,0.0,0.0033500965,2458.0,9,4.0,0,2458.0,9,4.0,0
2011-11-30,PG,0.007601520719456391,0.0,0.007593453141034448,0.0,0.0331423171,2199.0,8,5.0,0,2199.0,8,5.0,0
2011-11-30,CVX,0.008102737628458565,0.0,0.00811171294191423,0.0,0.0348181464,2256.0,8,6.0,0,2255.0,8,6.0,0
2011-11-30,AMAT,0.005555271793265641,0.0,0.005543385962918805,0.0,-0.006493479,1965.0,7,7.0,0,1965.0,7,7.0,0
2011-11-30,ABT,0.004816971234024773,0.0,0.004821707953142476,0.0,0.0307974387,1864.0,6,8.0,0,1867.0,6,8.0,0
2011-11-30,TKR,0.00015703919374177185,0.0,0.0001786190437389108,0.0,-0.078552708,1053.0,3,9.0,0,1053.0,3,9.0,0
2011-11-30,FL,0.010267585215373853,0.0,0.010262352178843796,0.0,0.0105977105,2438.0,9,10.0,0,2438.0,9,10.0,0
2011-11-30,KR,0.01146170018940549,0.0,0.011444950275761019,0.0,0.0448662192,2546.0,9,11.0,0,2546.0,9,11.0,0
2011-11-30,RPM,0.002225106457750241,0.0,0.002210542824665729,0.0,0.0402541868,1392.0,5,12.0,0,1392.0,5,12.0,0
2011-11-30,GIS,0.008329643552940412,0.0,0.008328264758333162,0.0,0.0115143694,2290.0,8,13.0,0,2290.0,8,13.0,0
2011-11-30,KMB,0.0018551393650224146,0.0,0.0018554877267542326,0.0,0.0390373059,1328.0,4,14.0,0,1328.0,4,14.0,0
2011-11-30,UTX,0.010387050296739383,0.0,0.010374792303956777,0.0,-0.045822483,2450.0,9,15.0,0,2450.0,9,15.0,0
2011-11-30,BDX,0.002455474656416905,0.0,0.002450302112107904,0.0,0.0188398268,1439.0,5,16.0,0,1444.0,5,16.0,0
2011-11-30,COO,0.010933001584734826,0.0,0.01092672689951727,0.0,0.1511589736,2506.0,9,17.0,0,2506.0,9,17.0,0
2011-11-30,T,0.010220417403975966,0.0,0.010206245062842689,0.0,0.0434782691,2436.0,9,18.0,0,2433.0,9,18.0,0
2011-11-30,HD,0.009541475136249972,0.0,0.009531563828930306,0.0,0.0719020814,2366.0,8,19.0,0,2366.0,8,19.0,0
2011-11-30,RBN,0.008023121507335947,0.0,0.008015406304914218,0.0,-0.087406039,2234.0,8,20.0,0,2234.0,8,20.0,0
2011-11-30,NWL,0.010214585482687367,0.0,0.010211295869305866,0.0,0.0555555187,2433.0,9,21.0,0,2436.0,9,21.0,0
2011-11-30,AMD,0.0015706150963023281,0.0,0.0015979252301325094,0.0,-0.050966602,1261.0,4,22.0,0,1265.0,4,22.0,0
2011-11-30,CR,0.00031774885074931265,0.0,0.00030592536788226054,0.0,-0.026672276,1073.0,4,23.0,0,1073.0,4,23.0,0
2011-11-30,CVS,0.006720302572404564,0.0,0.006728706296549985,0.0,0.0499484725,2095.0,7,24.0,0,2101.0,7,24.0,0
2011-11-30,BA,0.007381052757078811,0.0,0.0073688804612483,0.0,0.0678409636,2176.0,8,25.0,0,2176.0,8,25.0,0
2011-11-30,ARW,0.0020302010859279728,0.0,0.0020208077971860753,0.0,0.0232494101,1361.0,5,26.0,0,1360.0,5,26.0,0
2011-11-30,DE,0.005123222381672732,0.0,0.005110282248309221,0.0,-0.018801281,1914.0,7,27.0,0,1914.0,7,27.0,0
2011-11-30,DCI,-0.0008154453137717988,0.0,-0.0008022004759715479,0.0,-0.00175562,926.0,3,28.0,0,929.0,3,28.0,0
2011-11-30,XOM,0.006149197651772694,0.0,0.0061610818535769146,0.0,0.0537046194,2038.0,7,29.0,0,2038.0,7,29.0,0
2011-11-30,GE,0.004583370615043415,0.0,0.004581872339634478,0.0,0.136392206,1807.0,6,30.0,0,1812.0,6,30.0,0
2011-11-30,NVLS,-0.0002143259660546469,0.0,-0.00022470996056163026,0.0,0.1926632673,1003.0,3,31.0,0,1003.0,3,31.0,0
2011-11-30,GR,-0.0007744766173479222,0.0,-0.0007798201448552351,0.0,0.0138512813,932.0,3,32.0,0,932.0,3,32.0,0
2011-11-30,ITT,0.003709403238837945,0.0,0.003728411068322654,0.0,-0.041646015,1668.0,6,33.0,0,1674.0,6,33.0,0
2011-11-30,PEP,0.005256915366710891,0.0,0.0052542309415082745,0.0,0.0367187262,1933.0,7,34.0,0,1933.0,7,34.0,0
2011-11-30,COP,0.010717342712141649,0.0,0.010707579240575704,0.0,0.0217330772,2481.0,9,35.0,0,2481.0,9,35.0,0
2011-11-30,ATML,-0.008561525387791145,0.0,-0.008507484267939756,0.0,-0.086809412,172.0,0,36.0,0,182.0,0,36.0,0
2011-11-30,MSFT,-0.007283448360806851,0.0,-0.007283338817378525,0.0,0.0148553234,236.0,0,37.0,0,236.0,0,37.0,0
2011-11-30,EMC,0.0008890081660105217,0.0,0.0008791924077396719,0.0,-0.063885234,1151.0,4,38.0,0,1150.0,4,38.0,0
2011-11-30,LLTC,0.004436742706582302,0.0,0.004436474136016326,0.0,-0.01958859,1779.0,6,39.0,0,1779.0,6,39.0,0
2011-11-30,CY,-0.01117922170802755,0.0,-0.011166815215607032,0.0,-0.114315696,71.0,0,40.0,0,71.0,0,40.0,0
2011-11-30,ADM,-0.0010305272897591393,0.0,-0.0010365581191008665,0.0,-0.05046482,901.0,3,41.0,0,898.0,3,41.0,0
2011-11-30,CERN,-0.001941644951179045,0.0,-0.0019445471822016063,0.0,0.0044276887,762.0,2,42.0,0,763.0,2,42.0,0
2011-11-30,DELL,0.0030567502766701234,0.0,0.0030570832602879456,0.0,-0.071700513,1564.0,5,43.0,0,1564.0,5,43.0,0
2011-11-30,XRAY,0.008316830343219384,0.0,0.008312227012495845,0.0,-0.029493185,2287.0,8,44.0,0,2287.0,8,44.0,0
2011-11-30,DD,-0.013299512223104208,0.0,-0.01329912288070723,0.0,-0.040653866,45.0,0,45.0,0,45.0,0,45.0,0
2011-11-30,PFE,0.003737219532845101,0.0,0.0037295612527755576,0.0,0.0782261938,1675.0,6,46.0,0,1676.0,6,46.0,0
2011-11-30,AMGN,-0.007662746671192723,0.0,-0.007656820811452034,0.0,0.1087894887,206.0,0,47.0,0,206.0,0,47.0,0
2011-11-30,JCP,0.004273696136025086,0.0,0.004268937748714846,0.0,0.0970661864,1747.0,6,48.0,0,1744.0,6,48.0,0
2011-11-30,CAT,-0.0006758389518702395,0.0,-0.0006854453141857475,0.0,-0.074376777,962.0,3,49.0,0,960.0,3,49.0,0
