date,stock_ticker,predicted_return_ols,predicted_return_lasso,predicted_return_ridge,predicted_return_elastic_net,actual_return,rank_ols,decile_ols,rank_lasso,decile_lasso,rank_ridge,decile_ridge,rank_elastic_net,decile_elastic_net
2017-11-30,PEP,0.0030442076097800925,0.0,0.003040020697859412,0.0,0.0282795544,868.0,3,1.0,0,868.0,3,1.0,0
2017-11-30,MSFT,0.00032085395289956314,0.0,0.00031709265528694834,0.0,0.0153766166,518.0,2,2.0,0,517.0,2,2.0,0
2017-11-30,AKRX,0.012549098270908403,0.0,0.012552266268317902,0.0,-0.01073102,2074.0,8,3.0,0,2076.0,8,3.0,0
2017-11-30,BWXT,0.009076134021430003,0.0,0.009079177696325672,0.0,-0.032285094,1628.0,6,4.0,0,1630.0,6,4.0,0
2017-11-30,BC,-0.0018567288480493202,0.0,-0.001858224504872864,0.0,-0.003248641,336.0,1,5.0,0,336.0,1,5.0,0
2017-11-30,CERN,0.004930299003498463,0.0,0.004925393573578617,0.0,-0.047582741,1031.0,4,6.0,0,1031.0,4,6.0,0
2017-11-30,CDNS,0.004148930651458022,0.0,0.00415704161519158,0.0,-0.048497364,959.0,4,7.0,0,959.0,4,7.0,0
2017-11-30,HII,0.0003464075630288752,0.0,0.0003465466934403638,0.0,-0.025603113,524.0,2,8.0,0,524.0,2,8.0,0
2017-11-30,OLN,0.011472348281262292,0.0,0.01146453423349043,0.0,-0.002583433,1979.0,8,9.0,0,1979.0,8,9.0,0
2017-11-30,MO,0.0029750808803259998,0.0,0.0030044362858242103,0.0,0.0616092387,851.0,3,10.0,0,856.0,3,10.0,0
2017-11-30,MKC,0.0029005531637650564,0.0,0.0029020757010295717,0.0,0.0015466955,838.0,3,11.0,0,839.0,3,11.0,0
2017-11-30,FBHS,0.002244912260511647,0.0,0.0022453158225166506,0.0,-0.000607625,759.0,3,12.0,0,759.0,3,12.0,0
2017-11-30,XYL,0.004550894281535995,0.0,0.004554788415321335,0.0,-0.017340719,994.0,4,13.0,0,995.0,4,13.0,0
2017-11-30,ALSN,0.010658440608413054,0.0,0.01065217600051701,0.0,0.0485639054,1887.0,8,14.0,0,1886.0,8,14.0,0
2017-11-30,PSX,0.00955218362488252,0.0,0.009552816378209877,0.0,0.0358979109,1729.0,7,15.0,0,1729.0,7,15.0,0
2017-11-30,LRCX,-0.000836242217632119,0.0,-0.0008408353783164813,0.0,-0.041247289,411.0,1,16.0,0,410.0,1,16.0,0
2017-11-30,TGT,0.00856948743472035,0.0,0.008571373346217472,0.0,0.0884154964,1562.0,6,17.0,0,1564.0,6,17.0,0
2017-11-30,DHR,0.002054222132715805,0.0,0.002052368034625707,0.0,-0.015736805,726.0,3,18.0,0,725.0,3,18.0,0
2017-11-30,LLY,0.009766003858023115,0.0,0.0097589252883541,0.0,-0.003026658,1758.0,7,19.0,0,1757.0,7,19.0,0
2017-11-30,TER,0.008806089615873532,0.0,0.008806848806266674,0.0,0.0336934667,1597.0,6,20.0,0,1598.0,6,20.0,0
2017-11-30,XRAY,0.008048046329075537,0.0,0.008025311323001386,0.0,-0.017203541,1474.0,6,21.0,0,1473.0,6,21.0,0
2017-11-30,BA,0.00286032246434423,0.0,0.0028549387533175763,0.0,0.0645263571,828.0,3,22.0,0,827.0,3,22.0,0
2017-11-30,FAST,0.014300593993204443,0.0,0.014302700039969151,0.0,0.0430014956,2213.0,9,23.0,0,2213.0,9,23.0,0
2017-11-30,ILMN,-0.0016236837344988494,0.0,-0.0016134837858173528,0.0,-0.051067341,351.0,1,24.0,0,352.0,1,24.0,0
2017-11-30,GM,0.005525696456295076,0.0,0.005520486226991036,0.0,-0.040816418,1117.0,4,25.0,0,1116.0,4,25.0,0
2017-11-30,IFF,0.00040211315788662386,0.0,0.00040009725712616354,0.0,-0.014667381,532.0,2,26.0,0,533.0,2,26.0,0
2017-11-30,POL,-0.0021579749529698038,0.0,-0.002168924550814768,0.0,-0.055758238,310.0,1,27.0,0,309.0,1,27.0,0
2017-11-30,MON,0.010853926297401907,0.0,0.010847561274170045,0.0,-0.014082336,1909.0,8,28.0,0,1909.0,8,28.0,0
2017-11-30,LKQ,-0.0024216323342382265,0.0,-0.002422222921621267,0.0,0.030809794,297.0,1,29.0,0,297.0,1,29.0,0
2017-11-30,TKR,0.010058111877383312,0.0,0.010051772563952809,0.0,-0.01593006,1799.0,7,30.0,0,1798.0,7,30.0,0
2017-11-30,AMAT,-0.0004164361600948732,0.0,-0.0004201527033351523,0.0,-0.032167796,447.0,1,31.0,0,447.0,1,31.0,0
2017-11-30,AAPL,0.009894993196848542,0.0,0.009899955113743822,0.0,-0.016145914,1768.0,7,32.0,0,1769.0,7,32.0,0
2017-11-30,HSY,0.013605139441251834,0.0,0.013602981147183755,0.0,0.0223579261,2175.0,9,33.0,0,2175.0,9,33.0,0
2017-11-30,KR,0.005222932480821873,0.0,0.005219342589563846,0.0,0.0605849217,1068.0,4,34.0,0,1068.0,4,34.0,0
2017-11-30,CVS,0.0035357411302547872,0.0,0.003539205062912089,0.0,-0.054424785,900.0,3,35.0,0,900.0,3,35.0,0
2017-11-30,IBM,-9.94874789166239e-05,0.0,-9.121759052876151e-05,0.0,-0.004472144,476.0,2,36.0,0,477.0,2,36.0,0
2017-11-30,KMB,0.006507099474334954,0.0,0.006501049168299935,0.0,0.0147145748,1260.0,5,37.0,0,1259.0,5,37.0,0
2017-11-30,PG,0.004467520316209047,0.0,0.004462716531991256,0.0,0.020102328,982.0,4,38.0,0,981.0,4,38.0,0
2017-11-30,CAT,0.011535697473800254,0.0,0.01152545031795332,0.0,0.115501054,1987.0,8,39.0,0,1987.0,8,39.0,0
2017-11-30,FMC,0.010533643121492051,0.0,0.010527196172219146,0.0,0.0036021414,1862.0,7,40.0,0,1862.0,7,40.0,0
2017-11-30,FL,0.010014087570517794,0.0,0.010020679676709884,0.0,0.0934044126,1779.0,7,41.0,0,1784.0,7,41.0,0
