stock_ticker,predicted_return
PFPT,0.03605567346885236
GDDY,0.0353014643150692
SGEN,0.03459144109459788
SGEN,0.03351600856762445
APO,0.032433216400731955
HPQ,0.03237543167614026
QRVO,0.03233523570435728
UBNT,0.03136561458112839
IONS,0.0310909341197331
UBNT,0.030877448662063052
UTHR,0.03084604485720431
GDDY,0.03047592424993898
SGEN,0.03029094428581748
NCR,0.03011650184700472
XON,0.029868288768946157
SGEN,0.02978131933140439
HPQ,0.029588203290057485
AKRX,0.029439874774745474
MRD,0.02935063576880957
UBNT,0.029267131629548616
DATA,0.029256144252130252
HPQ,0.02925188905473968
AKRX,0.029109757596620024
QRVO,0.028898793817200556
ANAC,0.028740928416462093
UBNT,0.028646237655139642
GDDY,0.028592490304433393
HPQ,0.02852663923420342
PFPT,0.028424253256461238
GDDY,0.028422761039695557
VRTX,0.0284155512929348
VRSN,0.028361223481158063
AKRX,0.028178334149204363
APO,0.02816105384581981
APO,0.028085492632534313
ANAC,0.02806470157106563
DATA,0.02797738393474533
VRSN,0.027924522208861505
OPK,0.02789704259004956
ZEN,0.0278442667424841
PSMT,0.027803888071010627
TTWO,0.02777352441475789
UBNT,0.027588301946380497
INCY,0.027471550187496384
APO,0.02745943632710702
GME,0.02726748189013048
VRSN,0.027253986698983462
ICPT,0.027186775020621487
ALGT,0.027061660131901547
UBNT,0.026963674923696043
KW,0.02694455768404269
FTNT,0.0269326452743548
GME,0.02683468253127934
ANAC,0.026801724136861042
IONS,0.02677326245639025
UBNT,0.02665529616678302
DNB,0.026594532610631952
SGEN,0.026555632178117128
AAL,0.026553143634448037
GLW,0.026523632090433527
HPQ,0.026516359214828415
IONS,0.02633547380478713
TEX,0.02631085510186406
TEN,0.02628177638472204
PFPT,0.02623383191634973
ANET,0.026201558030173724
UBNT,0.026170377636248257
AFSI,0.026133399825425833
GDDY,0.02608985108785438
TEX,0.026070439331807777
INTC,0.026006862709200815
GDDY,0.02598044506956393
HE,0.025891594578174672
ALGT,0.025885716693415613
NFLX,0.025838950889389846
QRVO,0.025693743587750763
FSLR,0.025676998721174356
ICPT,0.025577237908685983
ITT,0.025542597486301707
DLB,0.025526609669222218
HE,0.02548729583478418
ALSN,0.025447975119444084
KW,0.025399728528128655
SIVB,0.025375692362577293
ALSN,0.025372111397565275
GDDY,0.02536772858329854
ALGT,0.025323595521248125
WEN,0.025314605563263377
UBNT,0.025228968401063853
GME,0.025198603738778663
PFPT,0.02518864409059629
KITE,0.02514513738270263
TTWO,0.02497525007559915
NFLX,0.024930682368542123
INTC,0.024929642853382443
SYMC,0.024910897616534505
IT,0.02480865492554779
ITCI,0.0247100852013286
BFAM,0.024698450625758123
RGA,0.02465824506497956
