stock_ticker,predicted_return
ISIS,0.03659978232892721
AGIO,0.03427410076749616
ISIS,0.03348655807725066
GMCR,0.03323574240440549
GPRO,0.03285749771325448
ICPT,0.032837411878245334
ICPT,0.03144096315603887
AAL,0.030892300213934777
MDVN,0.0305427387699108
GMCR,0.03044525580332056
ISIS,0.03033376407169589
AGIO,0.03028647169244756
CQH,0.03023505170466253
SGEN,0.030138183983619275
ICPT,0.029738826376206
AGIO,0.02970666744783232
SGEN,0.029519728923821806
ALGT,0.029444765237634715
ORI,0.029381418241362346
MRD,0.02933735009656019
PBYI,0.029205104217741515
RES,0.029028216889815953
GME,0.028860701893771913
RICE,0.028840065150669197
CQH,0.028610925373042134
CQH,0.02843935645094417
ICPT,0.028432288790057374
SGEN,0.0284242572639843
MIK,0.028346942103805478
MIK,0.02834064972753475
HIG,0.028296630436689868
CHS,0.0282708577602628
MRD,0.028108673122311044
FSLR,0.027902745407668524
CTXS,0.027892377700056675
CTXS,0.027710962803849284
DYN,0.027621684973584033
VMW,0.027564742081821116
GMCR,0.027529807519996764
GNW,0.02748098587807079
RCPT,0.02747626727870621
CACI,0.02734607167602341
AAL,0.02724873053664953
COMM,0.02695124576682026
AFG,0.026930923880299065
HPQ,0.026913726767840464
DYN,0.026781466377980685
MIK,0.026714754587308737
WMT,0.026699694132131968
MIK,0.02666223791668472
RICE,0.026653005029369493
ISIS,0.026552233771872713
MIK,0.026507719152085177
BRCD,0.026458492638551344
CLGX,0.02635264818132866
ICPT,0.026352642515861655
ORI,0.026296143124500765
XON,0.026289792511768724
GME,0.026286239939120618
AFL,0.026233193022728973
XON,0.026117156029825367
AIZ,0.026020275207929933
BLMN,0.025987180950983582
CHS,0.02585056161793651
WDAY,0.025800479436035806
WETF,0.025735247060309746
DDS,0.025710920159869588
TTWO,0.02566735335389378
SIRI,0.0256313293777344
TEX,0.025585415635889806
EMC,0.025583656937243085
GLW,0.025548082657767743
DYN,0.02551607874231939
TGT,0.025511418224106533
NTAP,0.025495115264313147
CLGX,0.02548971944145661
HFC,0.025479923046632907
MDCO,0.025451840505062336
EXPE,0.025434687877013196
TMUS,0.025415399404605785
EA,0.0253157874691348
TKR,0.025143249430724754
PBYI,0.02512093088081408
SPN,0.0250398027339229
WNR,0.025039756894449913
TTWO,0.0249868857108302
HLS,0.024909109199635675
CTXS,0.024830680464901507
GNW,0.024821352653705706
XON,0.024748543441286117
KATE,0.024745107475124893
HPQ,0.024742434204059305
BRCD,0.02469623521653201
SYMC,0.024688180838250848
WDAY,0.0246741156651802
AVP,0.024528042366167825
XON,0.024501805066357817
AAL,0.024465055695023788
DTV,0.024450606140343632
IACI,0.024445386801776818
